grupa,czlonow,czlony,y0,baseline_pct,prog_pct,szczyt_pct,rok_szczytu,prevalence_2021_2025_pct,docs_total,trwalosc_2025_do_szczytu,trwalosc_2021_2022,trwalosc_2023_2025,prac_od_y0,autor_top_pct,autor_eff_n,kraj_top,kraj_top_pct,kraj_eff_n,kraj_brak_pct,czasopismo_top_nlm,czasopismo_top_pct,czasopismo_eff_n,czas_podwojenia_lat,powod_braku_podwojenia,kraj_tlo_pct,kraj_nadreprezentacja
posterior lumbar fusion,2,psf | posterior lumbar fusion,2016,0.0414,0.207,0.689,2025,0.577,791,1.0,0.82,0.84,631,1.0,485.0,USA,54.8,3.1,14.9,101603979,22.2,12.3,7.1,,27.5,1.99
locking plate,3,locking plate | lcp | locked plating,2006,0.033,0.1648,0.833,2014,0.573,1574,0.51,0.86,0.56,1540,0.5,1317.6,China,20.0,10.0,10.3,0226040,8.4,39.5,6.2,,13.8,1.45
total ankle arthroplasty,2,taa | tar,2007,0.0131,0.1,0.718,2023,0.561,853,0.77,0.71,0.84,848,1.1,564.4,USA,47.0,4.2,6.4,9433869,30.2,8.5,5.9,,28.7,1.64
robotic assistance,2,robotic assisted total knee arthroplasty | robotic assistance,2020,0.0068,0.1,0.926,2025,0.519,424,1.0,0.32,0.73,373,1.6,294.1,USA,40.7,5.1,5.9,9314730,11.5,20.4,2.0,,27.0,1.51
vertebral augmentation,2,pvp | vertebral augmentation,2005,0.0062,0.1,0.593,2025,0.476,886,1.0,0.74,0.84,880,0.7,730.6,China,57.9,2.8,10.1,101528275,4.9,51.2,14.8,,13.6,4.27
anatomic total shoulder arthroplasty,2,anatomic total shoulder arthroplasty | atsa,2015,0.0,0.1,0.526,2025,0.433,496,1.0,0.64,0.96,478,1.3,338.0,USA,75.8,1.7,9.4,9206499,60.0,2.7,4.8,,27.6,2.74
open wedge high tibial osteotomy,3,owhto | open wedge high tibial osteotomy | mowhto,2014,0.0,0.1,0.458,2022,0.425,600,0.79,0.98,0.89,533,1.5,314.6,South Korea,32.5,5.1,5.4,9314730,17.3,14.7,4.2,,4.2,7.7
arcr,2,rcr | arcr,2017,0.0,0.1,0.519,2024,0.422,466,0.81,0.67,0.92,421,1.0,342.8,USA,44.4,4.3,7.4,9206499,22.8,8.3,3.9,,27.4,1.62
percutaneous kyphoplasty,2,percutaneous kyphoplasty | pkp,2010,0.0062,0.1,0.497,2024,0.421,573,0.91,0.74,0.93,545,0.7,453.5,China,90.5,1.2,7.2,9815790,8.4,29.7,6.9,,15.0,6.05
oblique lumbar interbody fusion,2,olif | oblique lumbar interbody fusion,2018,0.0,0.1,0.466,2022,0.394,375,0.78,0.85,0.85,352,2.0,256.0,China,64.9,2.2,5.4,101528275,15.1,16.1,2.2,,18.8,3.45
adult spinal deformity surgery,2,asd surgery | adult spinal deformity surgery,2015,0.0,0.1,0.504,2025,0.385,440,1.0,0.61,0.87,413,2.7,230.2,USA,53.6,3.1,11.9,7610646,20.3,9.6,5.4,,27.6,1.94
cone beam computed tomography,2,cbct | cone beam computed tomography,2010,0.0,0.1,0.467,2025,0.379,565,1.0,0.68,0.9,553,0.7,510.5,China,15.9,14.7,15.7,100888977,7.4,39.1,10.0,,15.0,1.06
lateral lumbar interbody fusion,1,,2013,0.0,0.1,0.432,2023,0.372,455,0.86,0.86,0.86,453,4.9,192.7,USA,48.0,3.5,13.0,101528275,17.7,15.1,5.1,,27.8,1.73
3d printing,2,3d printing | 3d printing technology,2016,0.0,0.1,0.444,2025,0.366,476,1.0,0.73,0.89,455,0.4,439.5,China,47.2,4.1,9.4,9815790,4.4,69.6,10.1,,17.7,2.67
motor evoked potential,1,,2013,0.0402,0.2008,0.385,2025,0.344,592,1.0,0.87,0.9,507,0.8,436.4,China,30.5,7.6,8.7,9206499,7.5,39.0,18.6,,16.1,1.89
patient specific instrumentation,2,psi | patient specific instrumentation,2012,0.0,0.1,0.474,2025,0.342,569,1.0,0.75,0.7,561,1.1,447.7,USA,18.3,12.0,9.4,9314730,9.6,33.9,13.8,,27.9,0.66
electronic medical record,1,,2013,0.0137,0.1,0.408,2024,0.336,439,0.64,0.82,0.83,418,1.4,364.0,USA,65.5,2.3,19.6,8703515,8.4,50.3,5.6,,27.8,2.36
kyphoplasty,2,kyphoplasty | balloon kyphoplasty,2005,0.0964,0.4821,0.797,2011,0.309,1263,0.39,0.43,0.36,1206,0.5,980.1,USA,25.1,7.6,13.9,9301980,6.4,59.7,9.2,,29.1,0.86
robotic,1,,2021,0.0267,0.1337,0.481,2025,0.297,294,1.0,0.46,0.73,200,1.5,183.5,USA,44.7,4.5,5.0,8703515,15.0,25.2,3.2,,27.0,1.66
revision anterior cruciate ligament reconstruction,1,,2017,0.0386,0.1929,0.359,2023,0.289,457,0.85,0.62,0.94,322,1.6,234.6,USA,41.9,5.1,9.6,7609541,23.0,7.7,16.8,,27.4,1.53
medial unicompartmental knee arthroplasty,1,,2013,0.0209,0.1044,0.356,2025,0.284,417,1.0,0.69,0.87,376,1.1,294.5,USA,24.0,9.5,4.8,8703515,17.0,12.4,9.0,,27.8,0.86
periacetabular osteotomy,1,,2012,0.0142,0.1,0.371,2024,0.278,404,0.64,0.75,0.75,378,1.3,259.8,USA,44.9,4.1,5.8,0075674,14.0,19.3,9.0,,27.9,1.61
primary hip arthroscopy,1,,2019,0.0,0.1,0.3,2021,0.263,256,0.64,0.99,0.8,222,5.0,89.3,USA,89.0,1.3,5.9,8506498,46.4,3.1,1.7,,27.2,3.27
percutaneous endoscopic lumbar discectomy,2,percutaneous endoscopic lumbar discectomy | peld,2016,0.0073,0.1,0.312,2018,0.235,383,0.69,0.75,0.76,320,1.9,242.7,China,81.4,1.5,7.8,101528275,15.3,17.1,2.8,,17.7,4.6
lateral extra articular tenodesis,2,lateral extra articular tenodesis | let,2020,0.0062,0.1,0.304,2025,0.231,213,1.0,0.67,0.82,175,1.7,147.9,USA,27.8,8.5,13.7,8506498,26.9,6.9,4.9,,27.0,1.03
adductor canal block,2,adductor canal block | acb,2016,0.0,0.1,0.288,2019,0.229,332,0.87,0.89,0.72,299,2.0,232.2,China,32.6,5.3,10.7,8703515,10.0,31.7,17.2,,17.7,1.84
cervical disc arthroplasty,2,cda | cervical disc arthroplasty,2016,0.0073,0.1,0.31,2023,0.22,384,0.57,0.57,0.82,289,3.5,179.6,USA,37.4,3.5,17.6,7610646,11.1,18.7,23.7,,27.5,1.36
mechanical alignment,1,,2018,0.0073,0.1,0.311,2025,0.219,301,1.0,0.55,0.8,207,1.4,173.5,China,16.3,12.7,5.3,9314730,25.6,11.3,5.8,,18.8,0.87
femoral neck system,2,fns | femoral neck system,2021,0.0073,0.1,0.312,2024,0.217,156,0.76,0.47,0.86,146,2.7,118.4,China,70.0,2.0,4.1,100968565,20.5,13.0,2.3,,20.8,3.37
latarjet procedure,1,,2014,0.0073,0.1,0.312,2024,0.207,327,0.57,0.58,0.72,285,1.8,234.1,USA,25.0,9.2,11.6,9206499,20.0,9.3,10.1,,27.6,0.9
computer navigation,2,computer navigation | computer assisted navigation,2006,0.0464,0.2319,0.58,2007,0.202,684,0.27,0.39,0.32,656,0.8,535.2,USA,30.9,7.6,8.4,8703515,11.1,29.5,,szczyt < 2 lata po y0,28.9,1.07
pedicle subtraction osteotomy,2,pso | pedicle subtraction osteotomy,2010,0.0124,0.1,0.355,2014,0.189,465,0.58,0.49,0.56,424,1.7,285.4,China,31.6,4.9,9.0,9301980,19.6,12.6,3.3,,15.0,2.11
volar locking plate,1,,2013,0.0,0.1,0.223,2024,0.187,363,0.8,0.8,0.87,307,1.3,264.0,Japan,15.7,12.8,10.7,7609631,10.7,29.4,17.5,,5.0,3.11
manipulation under anesthesia,1,,2019,0.0124,0.1,0.27,2022,0.187,242,0.96,0.69,0.7,164,1.8,151.1,USA,66.7,2.2,10.4,8703515,23.8,11.7,3.0,,27.2,2.45
labral repair,1,,2014,0.0062,0.1,0.211,2019,0.18,324,0.7,0.93,0.8,267,1.5,216.7,USA,64.1,2.4,13.5,8506498,40.8,4.9,10.2,,27.6,2.32
total elbow arthroplasty,1,,2013,0.0131,0.1,0.222,2025,0.176,321,1.0,0.77,0.8,269,1.1,235.7,USA,33.9,6.8,10.0,9206499,29.7,9.8,21.1,,27.8,1.22
polyetheretherketone,1,,2014,0.0131,0.1,0.207,2025,0.176,326,1.0,0.91,0.8,262,1.1,241.7,USA,24.3,8.2,10.3,101528275,6.9,45.2,38.2,,27.6,0.88
proximal femoral nail antirotation,1,,2011,0.0,0.1,0.237,2025,0.174,308,1.0,0.74,0.73,290,1.0,264.5,China,69.3,2.0,9.0,9815790,12.8,19.7,19.0,,15.3,4.54
augmented reality,1,,2022,0.0073,0.1,0.245,2023,0.164,148,0.58,0.56,0.76,96,4.2,78.1,USA,26.4,7.5,9.4,8703515,5.2,47.5,,szczyt < 2 lata po y0,27.4,0.96
cephalomedullary nail,1,,2021,0.0131,0.1,0.185,2025,0.161,216,1.0,0.87,0.86,108,1.9,100.6,USA,20.0,9.5,7.4,0226040,23.1,12.1,21.5,,27.0,0.74
short stem,1,,2015,0.0204,0.1019,0.204,2021,0.159,258,0.69,0.85,0.73,208,3.4,147.2,Germany,16.7,12.8,7.7,9011043,14.4,19.2,32.5,,5.5,3.02
targeted muscle reinnervation,1,,2021,0.0,0.1,0.204,2023,0.146,146,0.69,0.58,0.82,98,2.0,92.3,USA,68.4,2.1,19.4,1306050,11.2,22.7,2.7,,27.0,2.53
kinematic alignment,1,,2022,0.0,0.1,0.2,2025,0.143,164,1.0,0.45,0.9,87,3.4,68.2,USA,23.5,8.8,2.3,9314730,40.2,5.5,4.1,,27.4,0.86
primary unilateral total knee arthroplasty,1,,2015,0.0073,0.1,0.189,2016,0.143,272,0.71,0.89,0.66,220,0.9,201.7,China,33.8,4.6,8.6,8703515,23.6,14.0,,szczyt < 2 lata po y0,17.1,1.98
pelvic fixation,1,,2021,0.0124,0.1,0.185,2025,0.14,199,1.0,0.81,0.72,94,3.2,88.4,USA,61.1,2.6,23.4,101223545,16.0,16.3,,nachylenie niedodatnie,27.0,2.26
cta,1,,2021,0.0073,0.1,0.163,2023,0.137,234,0.82,0.74,0.91,92,3.3,86.4,China,24.7,7.9,7.6,9206499,23.9,12.8,6.0,,20.8,1.19
elective total knee arthroplasty,1,,2022,0.0204,0.1019,0.165,2022,0.137,206,0.99,0.75,0.89,80,3.8,72.7,USA,50.7,3.3,6.2,8703515,26.2,11.6,,szczyt < 2 lata po y0,27.4,1.85
oblique lateral interbody fusion,1,,2020,0.0,0.1,0.203,2022,0.137,139,0.66,0.79,0.6,111,4.5,74.7,China,60.7,2.4,3.6,101528275,11.7,16.7,2.8,,20.2,3.01
microfracture,1,,2012,0.0341,0.1703,0.276,2012,0.122,388,0.43,0.39,0.48,290,1.0,256.4,USA,33.3,7.0,13.1,9314730,16.2,14.3,,szczyt < 2 lata po y0,27.9,1.19
medial patellofemoral ligament reconstruction,1,,2018,0.0,0.1,0.193,2024,0.12,253,0.96,0.35,0.81,131,3.1,110.7,China,30.6,6.4,7.6,9314730,19.8,12.0,,nachylenie niedodatnie,18.8,1.63
mesenchymal stem cell,1,,2017,0.042,0.2101,0.338,2013,0.12,473,0.31,0.37,0.35,221,1.4,211.4,USA,20.0,11.1,11.8,0014030,6.8,58.4,,szczyt < 2 lata po y0,27.4,0.73
hip resurfacing,2,hip resurfacing | hip resurfacing arthroplasty,2005,0.0,0.1,0.945,2011,0.115,794,0.15,0.1,0.13,785,1.5,452.1,USA,28.6,6.2,9.7,8703515,12.0,21.5,2.4,,29.1,0.98
mimic software,1,,2021,0.0,0.1,0.123,2021,0.115,165,0.85,0.99,0.9,77,2.6,73.2,China,84.9,1.4,5.2,100968565,14.3,14.4,,szczyt < 2 lata po y0,20.8,4.09
highly cross linked polyethylene,1,,2015,0.0,0.1,0.17,2008,0.11,256,0.52,0.68,0.64,172,1.7,139.5,USA,37.3,5.6,6.4,8703515,32.0,7.6,,szczyt < 2 lata po y0,27.6,1.35
minimally invasive plate osteosynthesis,1,,2014,0.0199,0.1,0.154,2015,0.103,273,0.82,0.66,0.66,194,1.5,179.2,South Korea,20.3,9.7,8.8,0226040,17.0,20.8,,szczyt < 2 lata po y0,4.2,4.81
ultrasound guidance,1,,2023,0.0,0.1,0.126,2025,0.101,194,1.0,0.67,0.89,44,2.3,44.0,China,35.7,5.7,4.5,2985248R,6.8,32.3,8.1,,21.6,1.65
ponseti method,1,,2006,0.0124,0.1,0.246,2009,0.1,324,0.21,0.57,0.29,310,1.0,271.5,USA,30.0,8.5,19.4,8109053,15.5,18.8,3.0,,28.9,1.04
dual mobility cup,1,,2016,0.0,0.1,0.194,2020,0.097,221,0.38,0.61,0.42,172,1.7,145.0,France,32.5,7.2,7.0,7705431,23.8,10.0,17.8,,3.3,9.71
autologous chondrocyte implantation,2,autologous chondrocyte implantation | aci,2006,0.0261,0.1306,0.275,2010,0.092,402,0.13,0.3,0.36,374,2.1,274.3,USA,37.1,5.3,9.6,7609541,16.2,16.9,5.0,,28.9,1.28
anterolateral ligament,1,,2016,0.0,0.1,0.168,2017,0.091,158,0.75,0.57,0.52,150,2.0,127.8,USA,23.4,10.2,14.7,8506498,22.0,10.1,,szczyt < 2 lata po y0,27.5,0.85
unilateral anterior cruciate ligament reconstruction,1,,2017,0.0131,0.1,0.19,2018,0.089,175,0.55,0.51,0.44,131,2.3,109.3,USA,51.7,3.4,8.4,7609541,11.5,20.2,,szczyt < 2 lata po y0,27.4,1.89
total disc replacement,2,tdr | total disc replacement,2005,0.0124,0.1,0.284,2015,0.082,438,0.23,0.33,0.26,428,1.2,310.5,USA,36.8,5.5,6.5,7610646,22.2,10.7,57.3,,29.1,1.26
femoral nerve block,1,,2014,0.0131,0.1,0.213,2016,0.057,188,0.28,0.23,0.29,153,1.3,141.9,China,37.0,4.7,9.8,2985248R,10.5,28.2,2.6,,16.5,2.23
single bundle,1,,2010,0.0073,0.1,0.12,2012,0.034,145,0.31,0.39,0.21,122,2.5,111.1,USA,18.4,10.6,6.6,9314730,15.6,15.8,20.8,,28.3,0.65
double bundle reconstruction,1,,2007,0.0073,0.1,0.142,2010,0.025,139,0.16,0.2,0.16,132,1.5,124.5,USA,27.6,7.6,6.8,9314730,18.2,11.6,,nachylenie niedodatnie,28.7,0.96
mom total hip arthroplasty,1,,2014,0.0,0.1,0.144,2018,0.019,119,0.1,0.17,0.11,96,2.1,82.3,USA,34.1,5.8,14.6,8703515,20.8,9.3,,nachylenie niedodatnie,27.6,1.24
